NumStories,ParcelID,Height_Ft,FromH7,Residential Exemption,AC Type,Address,Bath Style 1,Bath Style 2,Bath Style 3,Bathrooms,Bedrooms,Classification Code,Commercial units,Community Preservation,Condition,Exterior Condition,Exterior Finish,FY2024 Building value,FY2024 Gross Tax,FY2024 Land Value,FY2024 Net Tax,FY2024 Total Assessed Value,Fireplaces,Foundation,Grade,Half Bathrooms,Heat Type,Interior Condition,Kitchen Style 1,Kitchen Style 2,Kitchen Style 3,Kitchen Type,Land Use,Living Area,Lot Size,Mixed-use units,Number of Kitchens,Other Fixtures,Parking Spots,Personal Exemption,Property Type,Quality,Residential Exemption,Residential units,Roof Cover,Roof Structure,Size/sqft,Style,Total Rooms,Total units (sum of values),Total units,Type,View,Year Built,distance,formatted,lat,lon,Centr_Lat,Centr_Lon,GoogleLnk,Ground_Elevation_Ft,Model_LOD,ZMax,ZMin
2.5,1300541000,32.87987483,1,$0.00 ,None,11  HARTFORD ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,6,0101 (Residential Property  / SINGLE FAM DWELLING),,$44.06 ,,Average,Vinyl,"$294,300.00 ","$5,495.78 ","$209,900.00 ","$5,539.84 ","$504,200.00 ",1,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"3,372 sq ft","6,263 sq ft",,1,0,0,No,One Family,,No,,Asphalt Shingl,Gable,,Colonial,13,,,,Average,1900,0,"11 Hartford Street, Boston, MA 02121, United States of America",42.31754995,-71.07358713,42.31756538,-71.07359549,"https://www.google.com/maps/search//@42.3155653775627,-71.0735954941638,263a,35y,39.46t/data=!3m1!1e3",95.12,1,127.9998748,93.49994383
2,1503060030,19.67996683,1,$0.00 ,None,11  WINTER ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$68.82 ,,Average,Vinyl,"$521,200.00 ","$7,972.26 ","$210,200.00 ","$8,041.08 ","$731,400.00 ",0,Brick,Average,0,Forced Hot Air,Good,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,544 sq ft","3,276 sq ft",,1,0,2,No,One Family,,No,,Asphalt Shingl,Hip,,Colonial,8,,,,Average,1900,1.530109454,"13 Winter Street, Dorchester, MA 02122, United States of America",42.30952,-71.06282,42.30951274,-71.06280419,"https://www.google.com/maps/search//@42.3075127440859,-71.0628041886123,263a,35y,39.46t/data=!3m1!1e3",62.32,1,81.99996683,59.00001283
2.5,1502965000,8.219943833,1,"$3,610.53 ",None,364  QUINCY ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0104 (Residential Property  / TWO-FAM DWELLING),,$3.72 ,Average,Average,Vinyl,"$306,600.00 ","$5,072.86 ","$158,800.00 ","$1,466.05 ","$465,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,983 sq ft","2,930 sq ft",,2,0,2,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,400,Conventional,14,,,Garage,Average,1910,4.09846601,"364 Quincy Street, Boston, MA 02125, United States of America",42.3108436,-71.0684778,42.31094644,-71.06836483,"https://www.google.com/maps/search//@42.308946442311594,-71.0683648320825,263a,35y,39.46t/data=!3m1!1e3",85.28,1,93.49994383,78.49997383
4,1301562000,0.228328153,1,$0.00 ,,111  PLEASANT ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"6,311 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$2,589,000 ",0,,,1972,5.285861371,"111 Pleasant Street, Boston, MA 02125, United States of America",42.3119367,-71.05936667,42.31196463,-71.05920969,"https://www.google.com/maps/search//@42.309964632264695,-71.0592096860232,263a,35y,39.46t/data=!3m1!1e3",25.06932426,1.5,25.29765242,18.55718033
3,1502867015,16.09040133,1,"$3,610.53 ",Central AC,19  HENDRY ST BOSTON MA 02122,Modern,Modern,Modern,3,12,0105 (Residential Property  / THREE-FAM DWELLING),,$100.54 ,,Good,Vinyl,"$1,100,100.00 ","$14,754.24 ","$253,500.00 ","$11,244.25 ","$1,353,600.00 ",0,Stone,Average,0,Forced Hot Air,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,458 sq ft","4,768 sq ft",,3,0,3,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,18,,,,Average,1905,0,"19 Hendry Street, Boston, MA 02125, United States of America",42.30948305,-71.06492877,42.3095037,-71.06492983,"https://www.google.com/maps/search//@42.307503703858096,-71.0649298260485,263a,35y,39.46t/data=!3m1!1e3",55.9095855,1,71.99998683,52.50002583
2.5,1301977000,14.98004183,1,"$3,610.53 ",None,10  HOWES ST BOSTON MA 02125,Modern,Semi-Modern,,1,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$39.46 ,,Average,Frame/Clapbrd,"$572,900.00 ","$8,646.97 ","$220,400.00 ","$5,075.90 ","$793,300.00 ",1,Stone,Average,1,Forced Hot Air,Average,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,274 sq ft","3,288 sq ft",,1,0,1,No,One Family,,Yes,,Asphalt Shingl,Gable,,Colonial,10,,,,Average,1879,0,"10 Howes Street, Boston, MA 02125, United States of America",42.31771025,-71.05750358,42.31770692,-71.05751722,"https://www.google.com/maps/search//@42.315706918958,-71.0575172156677,263a,35y,39.46t/data=!3m1!1e3",29.52,1,44.50004183,28.00007483
2,1302035000,29.70000583,1,"$3,610.53 ",None,20  PLEASANT ST BOSTON MA 02125,Modern,Modern,,1,2,0101 (Residential Property  / SINGLE FAM DWELLING),,$34.24 ,,Average,Vinyl,"$512,900.00 ","$8,124.86 ","$232,500.00 ","$4,548.57 ","$745,400.00 ",0,Stone,Average,1,Ht Water/Steam,Average,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,861 sq ft","4,444 sq ft",,1,0,2,No,One Family,,Yes,,Asphalt Shingl,Gable,,Colonial,7,,,,Average,1870,0,"20 Pleasant Street, Boston, MA 02125, United States of America",42.3173,-71.05876506,42.31731306,-71.05879646,"https://www.google.com/maps/search//@42.3153130636849,-71.0587964635497,263a,35y,39.46t/data=!3m1!1e3",32.8,1,62.50000583,31.00006883
2,1301853000,9.920038833,1,"$3,610.53 ",None,76  MAYFIELD ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$49.67 ,,Good,Frame/Clapbrd,"$668,000.00 ","$9,667.21 ","$218,900.00 ","$6,106.35 ","$886,900.00 ",1,Stone,Average,0,Ht Water/Steam,Average,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,076 sq ft","3,000 sq ft",,1,0,0,No,One Family,,Yes,,Asphalt Shingl,Gable,,Colonial,9,,,,Average,1895,0,"76 Mayfield Street, Boston, MA 02125, United States of America",42.3167757,-71.06051029,42.31679204,-71.06050091,"https://www.google.com/maps/search//@42.314792043946596,-71.0605009117346,263a,35y,39.46t/data=!3m1!1e3",36.08,1,46.00003883,29.50007183
3,1502831000,33.46634902,1,$0.00 ,None,27  CAMERON ST BOSTON MA 02125,Semi-Modern,No Remodeling,No Remodeling,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$68.15 ,Average,Average,Vinyl,"$499,900.00 ","$7,904.68 ","$225,300.00 ","$7,972.83 ","$725,200.00 ",0,Stone,Average,0,Forced Hot Air,Average,No Remodeling,No Remodeling,No Remodeling,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,339 sq ft","3,185 sq ft",,3,0,1,No,Three Family,AVERAGE,No,,Rubber Roof,Flat,91,Decker,15,,,Deck/Patio,Average,1905,0,"27 Cameron Street, Boston, MA 02125, United States of America",42.31069045,-71.06377795,42.3107012,-71.06378257,"https://www.google.com/maps/search//@42.3087012018815,-71.0637825675616,263a,35y,39.46t/data=!3m1!1e3",38.53363781,1,71.99998683,33.00006483
2,1301483000,59.9276314,1,"$3,610.53 ",None,22  SALCOMBE ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,1,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$39.13 ,,Average,Frame/Clapbrd,"$580,600.00 ","$8,613.18 ","$209,600.00 ","$5,041.78 ","$790,200.00 ",3,Stone,Good,1,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,331 sq ft","4,897 sq ft",,1,0,2,No,One Family,,Yes,,Asphalt Shingl,Hip,,Colonial,8,,,,Average,1900,0,"22 Salcombe Street, Boston, MA 02125, United States of America",42.3143909,-71.06123925,42.31440857,-71.06124342,"https://www.google.com/maps/search//@42.3124085736457,-71.0612434214523,263a,35y,39.46t/data=!3m1!1e3",51.57227643,1,111.4999078,56.00001883
3,1502907000,34.41998983,1,$0.00 ,None,14  CAMERON ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$70.54 ,,Average,Vinyl,"$516,900.00 ","$8,144.48 ","$230,300.00 ","$8,215.02 ","$747,200.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,339 sq ft","3,131 sq ft",,3,0,1,No,Three Family,,No,,Rubber Roof,Flat,,Decker,15,,,,Average,1905,0,"14 Cameron Street, Boston, MA 02125, United States of America",42.31069165,-71.0632055,42.31069771,-71.06319735,"https://www.google.com/maps/search//@42.308697712241596,-71.0631973491373,263a,35y,39.46t/data=!3m1!1e3",36.08,1,70.49998983,31.00006883
2,1300167000,8.015195058,1,$0.00 ,Central AC,10  HARLOW ST BOSTON MA 02125,Modern,Modern,Modern,3,7,0104 (Residential Property  / TWO-FAM DWELLING),,$80.61 ,,Good,Vinyl,"$635,500.00 ","$9,150.55 ","$204,000.00 ","$9,231.16 ","$839,500.00 ",1,Concrete,Average,0,Forced Hot Air,Good,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,394 sq ft","4,123 sq ft",,2,0,0,No,Two Family,,No,,Asphalt Shingl,Gable,,Two Fam Stack,11,,,,Average,2002,6.240347905,"12 Harlow Street, Boston, MA 02125, United States of America",42.31901055,-71.07205055,42.31886458,-71.07207,"https://www.google.com/maps/search//@42.3168645803084,-71.0720700003632,263a,35y,39.46t/data=!3m1!1e3",66.11339644,1.5,74.1285915,62.284127
1,1502852000,6.800018833,1,"$3,610.53 ",None,10  DOWNER CT BOSTON MA 02122,Semi-Modern,,,1,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$9.10 ,Average,Average,Vinyl,"$307,000.00 ","$5,610.23 ","$207,700.00 ","$2,008.80 ","$514,700.00 ",0,Concrete,Average,0,Electric,Good,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,325 sq ft","6,111 sq ft",,1,0,4,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gable,120,Ranch,6,,,Shed,Average,1989,0,"10 Downer Court, Boston, MA 02125, United States of America",42.30976295,-71.06453836,42.30977955,-71.06453808,"https://www.google.com/maps/search//@42.3077795513438,-71.0645380780958,263a,35y,39.46t/data=!3m1!1e3",49.2,1,56.00001883,41.00004883
2,1302028000,8.200048833,1,$0.00 ,None,29  MAYFIELD ST BOSTON MA 02125,No Remodeling,Semi-Modern,,2,5,0101 (Residential Property  / SINGLE FAM DWELLING),,$83.46 ,Fair,Average,Wood Shake,"$596,500.00 ","$9,436.13 ","$269,200.00 ","$9,519.59 ","$865,700.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,,,0 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,715 sq ft","6,529 sq ft",,1,0,9,No,One Family,AVERAGE,No,,Asphalt Shingl,Gable,400,Colonial,9,,,Garage,Average,1905,12.97160072,"20 Taft Street, Boston, MA 02125, United States of America",42.31713175,-71.05797832,42.31693129,-71.05806229,"https://www.google.com/maps/search//@42.3149312888564,-71.0580622928082,263a,35y,39.46t/data=!3m1!1e3",32.8,1,41.00004883,26.00007883
2,1301277000,2.908135187,1,$0.00 ,None,20  MONADNOCK ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$50.55 ,,Average,Vinyl,"$326,000.00 ","$6,145.42 ","$237,800.00 ","$6,195.97 ","$563,800.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,853 sq ft","5,333 sq ft",,2,0,0,No,Two Family,,No,,Asphalt Shingl,Hip,,Conventional,12,,,,Average,1890,9.08097634,"20 Monadnock Street, Dorchester, MA 02125, United States of America",42.316907,-71.068011,42.31694027,-71.06811186,"https://www.google.com/maps/search//@42.314940271202694,-71.0681118642405,263a,35y,39.46t/data=!3m1!1e3",55.53610448,1.5,58.44423967,52.41898925
3,1301708000,50.42799964,1,"$3,610.53 ",None,16  ROWELL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Modern,4,6,0105 (Residential Property  / THREE-FAM DWELLING),,$86.13 ,,Good,Wood Shake,"$970,700.00 ","$13,313.26 ","$250,700.00 ","$9,788.86 ","$1,221,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,411 sq ft","3,200 sq ft",,3,0,2,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,15,,,,Average,1920,0,"16 Rowell Street, Boston, MA 02125, United States of America",42.3133828,-71.0644988,42.31339874,-71.0644855,"https://www.google.com/maps/search//@42.3113987346862,-71.0644854983983,263a,35y,39.46t/data=!3m1!1e3",58.07191419,1,108.4999138,67.49999583
3,1502827000,34.41998983,1,"$3,610.53 ",None,11  CAMERON ST BOSTON MA 02125,Modern,Modern,Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$40.22 ,,Average,Vinyl,"$569,600.00 ","$8,722.18 ","$230,600.00 ","$5,151.87 ","$800,200.00 ",0,Stone,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,357 sq ft","3,226 sq ft",,3,0,1,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,15,,,,Average,1915,0,"11 Cameron Street, Boston, MA 02125, United States of America",42.31097535,-71.06333092,42.31098906,-71.06332652,"https://www.google.com/maps/search//@42.3089890614219,-71.0633265217765,263a,35y,39.46t/data=!3m1!1e3",36.08,1,70.49998983,31.00006883
2,1300563000,30.35055475,1,$0.00 ,None,15  CUNNINGHAM ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,4,0104 (Residential Property  / TWO-FAM DWELLING),,$64.24 ,,Average,Wood Shake,"$435,900.00 ","$7,514.46 ","$253,500.00 ","$7,578.70 ","$689,400.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,730 sq ft","6,215 sq ft",,2,0,8,No,Two Family,,No,,Asphalt Shingl,Hip,,Two Fam Stack,10,,,,Average,1931,0.699859895,"15 Cunningham Street, Dorchester, MA 02125, United States of America",42.314427,-71.073831,42.3144213,-71.0738346,"https://www.google.com/maps/search//@42.3124212969811,-71.0738345996242,263a,35y,39.46t/data=!3m1!1e3",82.64935008,1,112.9999048,78.49997383
2,1300142010,31.01996383,1,$0.00 ,None,10  DEAN ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,1,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$9.80 ,,Average,Vinyl,"$138,627.00 ","$2,069.91 ","$51,273.00 ","$2,079.71 ","$189,900.00 ",0,Concrete,Average,1,Ht Water/Steam,Average,Semi-Modern,,,0 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,465 sq ft","4,719 sq ft",,1,0,2,No,One Family,,No,,Asphalt Shingl,Gable,,Semi-Det,6,,,,Average,2001,2.392361081,"10 Dean Street, Boston, MA 02125, United States of America",42.3192027,-71.0739126,42.3192036,-71.07388353,"https://www.google.com/maps/search//@42.317203602596194,-71.0738835275132,263a,35y,39.46t/data=!3m1!1e3",52.48,1,83.49996383,51.00002883
3,1301775000,34.41998983,1,$0.00 ,,4  KEVIN RD BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"2,758 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$1,470,100 ",0,,,1905,0,"4 Kevin Road, Boston, MA 02125, United States of America",42.31677985,-71.06198135,42.31678855,-71.06198007,"https://www.google.com/maps/search//@42.3147885501191,-71.0619800739085,263a,35y,39.46t/data=!3m1!1e3",36.08,1,70.49998983,31.00006883
2.5,1301934000,36.5717019,1,"$3,610.53 ",None,32  EDISON GREEN BOSTON MA 02125,Modern,Modern,Modern,3,6,0104 (Residential Property  / TWO-FAM DWELLING),,$46.79 ,Average,Average,Vinyl,"$616,800.00 ","$9,379.45 ","$243,700.00 ","$5,815.71 ","$860,500.00 ",0,Brick,Average,0,Ht Water/Steam,Average,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,786 sq ft","3,275 sq ft",,2,0,2,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,216,Conventional,13,,,Garage,Average,1915,0,"32 Edison Green, Boston, MA 02125, United States of America",42.3190551,-71.05849069,42.31907987,-71.05847974,"https://www.google.com/maps/search//@42.31707986793494,-71.05847973748176,263a,35y,39.46t/data=!3m1!1e3",19.09728085,2.5,55.66898275,11.09689342
3,1502755000,36.15987483,1,$0.00 ,None,32  BELLEVUE ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$85.15 ,,Average,Vinyl,"$617,900.00 ","$9,605.08 ","$263,300.00 ","$9,690.23 ","$881,200.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,978 sq ft","5,194 sq ft",,3,0,4,No,Three Family,,No,,Rubber Roof,Flat,,Decker,18,,,,Average,1905,0.938733531,"32 Bellevue Street, Dorchester, MA 02125, United States of America",42.31044,-71.06757,42.31044821,-71.06757267,"https://www.google.com/maps/search//@42.3084482081487,-71.0675726713524,263a,35y,39.46t/data=!3m1!1e3",91.84,1,127.9998748,88.49995383
2,1502438000,34.23995083,1,$0.00 ,None,15  BODWELL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,2,4,0101 (Residential Property  / SINGLE FAM DWELLING),,$38.36 ,,Average,Vinyl,"$301,500.00 ","$4,925.71 ","$150,400.00 ","$4,964.07 ","$451,900.00 ",0,Brick,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,060 sq ft","3,464 sq ft",,1,0,8,No,One Family,,No,,Asphalt Shingl,Gable,,Colonial,7,,,,Average,1920,0,"15 Bodwell Street, Boston, MA 02212, United States of America",42.31264995,-71.06984886,42.31265519,-71.06984306,"https://www.google.com/maps/search//@42.310655188651396,-71.0698430605111,263a,35y,39.46t/data=!3m1!1e3",55.76,1,89.99995083,51.00002883
3,1302105000,13.04005883,1,$0.00 ,Central AC,6  PEARL ST BOSTON MA 02125,Modern,Modern,Modern,6,9,0105 (Residential Property  / THREE-FAM DWELLING),,$145.21 ,Good,Good,Cement Board,"$1,119,300.00 ","$15,610.98 ","$312,900.00 ","$15,756.19 ","$1,432,200.00 ",0,Slab,Average,3,Forced Hot Air,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,980 sq ft","6,047 sq ft",,3,3,6,No,Three Family,AVERAGE,No,,Rubber Roof,Flat,120,Conventional,18,,,Roof Deck,Average,2021,0,"6 Pearl Street, Boston, MA 02125, United States of America",42.3145977,-71.05742068,42.31460611,-71.05743038,"https://www.google.com/maps/search//@42.312606108803294,-71.0574303767521,263a,35y,39.46t/data=!3m1!1e3",22.96,1,36.00005883,19.50009183
1.5,1503014000,15.54009297,1,"$3,610.53 ",None,10  HIGH ST BOSTON MA 02122,Semi-Modern,Semi-Modern,,2,4,0104 (Residential Property  / TWO-FAM DWELLING),,$20.83 ,Average,Average,Vinyl,"$362,400.00 ","$6,783.07 ","$259,900.00 ","$3,193.37 ","$622,300.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,,1 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"1,684 sq ft","5,161 sq ft",,2,0,6,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,96,Conventional,9,,,Shed,Average,1920,0,"10 High Street, Boston, MA 02122, United States of America",42.30982465,-71.06069635,42.30982675,-71.0607181,"https://www.google.com/maps/search//@42.307826745260094,-71.0607181037605,263a,35y,39.46t/data=!3m1!1e3",31.95994287,1,47.50003583,28.00007483
2,1301677000,-0.943066517,1,$0.00 ,None,22  DOWNER AV BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,2,6,0104 (Residential Property  / TWO-FAM DWELLING),,$78.37 ,Excellent,Average,Wood Shake,"$588,700.00 ","$8,927.10 ","$230,300.00 ","$9,005.47 ","$819,000.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,584 sq ft","3,507 sq ft",,2,0,2,No,Two Family,AVERAGE,No,,Asphalt Shingl,Gable,143,Conventional,12,,,Balcony,Average,1900,4.721344796,"22 Downer Avenue, Boston, MA 02125, United States of America",42.3112003,-71.06056297,42.31120969,-71.06041874,"https://www.google.com/maps/search//@42.309209687633,-71.0604187420011,263a,35y,39.46t/data=!3m1!1e3",48.71344302,1.5,47.7703765,41.03482567
2.5,1300499000,31.15988483,1,$0.00 ,None,99  HOWARD AV BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$74.68 ,,Average,Vinyl,"$513,500.00 ","$8,557.59 ","$271,600.00 ","$8,632.27 ","$785,100.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,916 sq ft","3,079 sq ft",,3,0,0,No,Three Family,,No,,Asphalt Shingl,Gable,,Conventional,14,,,,Average,1905,0,"99 Howard Avenue, Boston, MA 02125, United States of America",42.31676305,-71.07481092,42.31677759,-71.0748106,"https://www.google.com/maps/search//@42.3147775858521,-71.0748105955666,263a,35y,39.46t/data=!3m1!1e3",91.84,1,122.9998848,86.99995683
2,1301701000,25.80167659,1,"$3,610.53 ",None,65  CUSHING AV BOSTON MA 02125,Modern,Modern,,2,5,0104 (Residential Property  / TWO-FAM DWELLING),,$51.06 ,Average,Average,Wood Shake,"$609,800.00 ","$9,806.73 ","$289,900.00 ","$6,247.26 ","$899,700.00 ",0,Brick,Average,0,Ht Water/Steam,Good,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,641 sq ft","6,784 sq ft",,2,0,5,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,456,Conventional,10,,,Garage,Average,1890,0,"65 Cushing Avenue, Boston, MA 02125, United States of America",42.3141713,-71.06456614,42.31418712,-71.06456815,"https://www.google.com/maps/search//@42.312187117238,-71.0645681505265,263a,35y,39.46t/data=!3m1!1e3",82.69823724,1,108.4999138,86.99995683
3,1301970000,34.48000283,1,"$3,610.53 ",None,26  HOWES ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$93.18 ,Fair,Good,Vinyl,"$1,000,500.00 ","$14,018.49 ","$285,600.00 ","$10,501.14 ","$1,286,100.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,834 sq ft","3,213 sq ft",,3,0,0,No,Three Family,AVERAGE,Yes,,Composition,Flat,160,Decker,15,,,Deck/Patio,Average,1905,0,"26 Howes Street, Boston, MA 02125, United States of America",42.3178784,-71.05853762,42.3178837,-71.05853376,"https://www.google.com/maps/search//@42.3158836973194,-71.0585337568397,263a,35y,39.46t/data=!3m1!1e3",29.52,1,64.00000283,26.00007883
3,1300102000,34.63998283,1,"$3,610.53 ",None,27  DEAN ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,4,0105 (Residential Property  / THREE-FAM DWELLING),,$36.51 ,,Good,Vinyl,"$576,500.00 ","$8,351.58 ","$189,700.00 ","$4,777.56 ","$766,200.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,618 sq ft","2,603 sq ft",,3,0,0,No,Three Family,,Yes,,Rubber Roof,Flat,,Decker,15,,,,Average,1900,0,"27 Dean Street, Boston, MA 02119, United States of America",42.319662,-71.07429218,42.31967808,-71.07429292,"https://www.google.com/maps/search//@42.3176780751809,-71.0742929237451,263a,35y,39.46t/data=!3m1!1e3",39.36,1,73.99998283,34.50006183
2,1300931000,24.61994383,1,$0.00 ,None,3  MAGNOLIA PL BOSTON MA 02125,Modern,Modern,,2,4,0104 (Residential Property  / TWO-FAM DWELLING),,$56.00 ,Good,Good,Vinyl,"$421,200.00 ","$6,690.42 ","$192,600.00 ","$6,746.42 ","$613,800.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"1,830 sq ft","3,103 sq ft",,2,0,0,No,Two Family,AVERAGE,No,,Asphalt Shingl,Gable,80,Conventional,8,,,Shed,Average,1905,0.909916412,"3 Magnolia Place, Dorchester, MA 02125, United States of America",42.313297,-71.073111,42.3132889,-71.07310943,"https://www.google.com/maps/search//@42.311288900058194,-71.0731094285599,263a,35y,39.46t/data=!3m1!1e3",68.88,1,93.49994383,64.00000283
2.5,1301533000,28.54728791,1,"$3,610.53 ",None,129  CUSHING AV BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,2,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$41.02 ,Average,Average,Wood Shake,"$567,900.00 ","$8,802.84 ","$239,700.00 ","$5,233.33 ","$807,600.00 ",1,Stone,Average,1,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,511 sq ft","3,149 sq ft",,1,0,0,No,One Family,AVERAGE,Yes,,Asphalt Shingl,Gable,140,Colonial,9,,,Deck/Patio,Average,1900,0,"129 Cushing Avenue, Boston, MA 02125, United States of America",42.3126678,-71.06116097,42.3126831,-71.06116404,"https://www.google.com/maps/search//@42.3106830993571,-71.0611640396296,263a,35y,39.46t/data=!3m1!1e3",89.45260692,1,117.9998948,88.49995383
