NumStories,ParcelID,Height_Ft,FromH7,Residential Exemption,AC Type,Address,Bath Style 1,Bath Style 2,Bath Style 3,Bathrooms,Bedrooms,Classification Code,Commercial units,Community Preservation,Condition,Exterior Condition,Exterior Finish,FY2024 Building value,FY2024 Gross Tax,FY2024 Land Value,FY2024 Net Tax,FY2024 Total Assessed Value,Fireplaces,Foundation,Grade,Half Bathrooms,Heat Type,Interior Condition,Kitchen Style 1,Kitchen Style 2,Kitchen Style 3,Kitchen Type,Land Use,Living Area,Lot Size,Mixed-use units,Number of Kitchens,Other Fixtures,Parking Spots,Personal Exemption,Property Type,Quality,Residential Exemption,Residential units,Roof Cover,Roof Structure,Size/sqft,Style,Total Rooms,Total units (sum of values),Total units,Type,View,Year Built,distance,formatted,lat,lon,Centr_Lat,Centr_Lon,GoogleLnk,Ground_Elevation_Ft,Model_LOD,ZMax,ZMin
2.5,1301330000,31.11993083,1,"$3,610.53 ",None,20  VIRGINIA ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,7,0104 (Residential Property  / TWO-FAM DWELLING),,$39.44 ,Average,Average,Asphalt,"$368,900.00 ","$8,644.79 ","$424,200.00 ","$5,073.70 ","$793,100.00 ",0,Brick,Average,0,Forced Hot Air,Average,Semi-Modern,Semi-Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"5,054 sq ft","9,016 sq ft",,2,0,7,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,240,Conventional,14,,,Garage,Average,1885,0,"20 Virginia Street, Boston, MA 02125, United States of America",42.3165634,-71.0672699,42.31656507,-71.0672562,"https://www.google.com/maps/search//@42.3145650722251,-71.0672562012022,263a,35y,39.46t/data=!3m1!1e3",68.88,1,99.99993083,68.99999283
3,1302140000,35.52546107,1,$0.00 ,None,1085  DORCHESTER AV BOSTON MA 02125,Modern,Modern,Modern,3,12,0105 (Residential Property  / THREE-FAM DWELLING),,$171.91 ,,Good,Vinyl,"$1,413,600.00 ","$18,281.48 ","$263,600.00 ","$18,453.39 ","$1,677,200.00 ",0,Stone,Average,3,Forced Hot Air,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"4,362 sq ft","2,210 sq ft",,3,0,0,No,Three Family,,No,,Rubber Roof,Flat,,Decker,20,,,,Average,1905,0,"1085 Dorchester Avenue, Boston, MA 02125, United States of America",42.31367195,-71.05728715,42.31367967,-71.05728187,"https://www.google.com/maps/search//@42.3116796672062,-71.0572818654994,263a,35y,39.46t/data=!3m1!1e3",16.97456476,1,52.50002583,13.00010483
2.5,1502443000,4.960002833,1,$0.00 ,None,25  BODWELL ST BOSTON MA 02125,Semi-Modern,Semi-Modern,,1,6,0101 (Residential Property  / SINGLE FAM DWELLING),,$41.58 ,,Good,Vinyl,"$322,000.00 ","$5,248.35 ","$159,500.00 ","$5,289.93 ","$481,500.00 ",3,Stone,Average,1,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,622 sq ft","3,630 sq ft",,1,0,2,No,One Family,,No,,Asphalt Shingl,Gambrel,,Colonial,10,,,,Average,1910,4.681472802,"25 Bodwell Street, Boston, MA 02125, United States of America",42.3132033,-71.07022788,42.31328241,-71.07010908,"https://www.google.com/maps/search//@42.3112824082178,-71.0701090777017,263a,35y,39.46t/data=!3m1!1e3",59.04,1,64.00000283,52.50002583
2,1502971000,36.27990083,1,"$3,610.53 ",None,7  STANLEY ST BOSTON MA 02125,Modern,Modern,,2,8,0104 (Residential Property  / TWO-FAM DWELLING),,$37.20 ,Average,Good,Vinyl,"$557,100.00 ","$8,420.25 ","$215,400.00 ","$4,846.92 ","$772,500.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Modern,Modern,,2 Full Eat In Kitchens,104 - TWO-FAM DWELLING,"2,876 sq ft","3,696 sq ft",,2,0,3,No,Two Family,AVERAGE,Yes,,Asphalt Shingl,Gable,121,Conventional,14,,,Deck/Patio,Average,1910,0,"7 Stanley Street, Boston, MA 02212, United States of America",42.31143215,-71.06830847,42.31145208,-71.06830576,"https://www.google.com/maps/search//@42.3094520783418,-71.0683057562195,263a,35y,39.46t/data=!3m1!1e3",78.72,1,114.9999008,73.99998283
2.5,1302114000,24.54003583,1,"$3,610.53 ",None,11  THORNLEY ST BOSTON MA 02125,Modern,Modern,Modern,2,6,0101 (Residential Property  / SINGLE FAM DWELLING),,$69.27 ,,Average,Frame/Clapbrd,"$828,300.00 ","$11,627.03 ","$238,400.00 ","$8,085.77 ","$1,066,700.00 ",0,Stone,Good,2,Forced Hot Air,Good,Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"2,735 sq ft","4,173 sq ft",,1,0,2,No,One Family,,Yes,,Asphalt Shingl,Gable,,Colonial,11,,,,Average,1895,0,"11 Thornley Street, Boston, MA 02125, United States of America",42.3142378,-71.05791593,42.31424232,-71.05791818,"https://www.google.com/maps/search//@42.3122423185997,-71.0579181844587,263a,35y,39.46t/data=!3m1!1e3",22.96,1,47.50003583,19.50009183
3,1502836000,24.85999583,1,"$3,610.53 ",None,47  CAMERON ST BOSTON MA 02125,Semi-Modern,Semi-Modern,Semi-Modern,3,6,0105 (Residential Property  / THREE-FAM DWELLING),,$38.92 ,Average,Average,Vinyl,"$570,100.00 ","$8,592.47 ","$218,200.00 ","$5,020.86 ","$788,300.00 ",0,Stone,Average,0,Ht Water/Steam,Average,Semi-Modern,Semi-Modern,Semi-Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,144 sq ft","3,089 sq ft",,3,0,3,No,Three Family,AVERAGE,Yes,,Composition,Flat,360,Decker,15,,,Garage,Average,1920,0,"47 Cameron Street, Boston, MA 02125, United States of America",42.31036675,-71.0643509,42.31037877,-71.06435679,"https://www.google.com/maps/search//@42.308378768692094,-71.0643567880374,263a,35y,39.46t/data=!3m1!1e3",42.64,1,67.49999583,37.50005583
2,1300040000,29.45995383,1,"$3,297.14 ",None,7  DEAN ST BOSTON MA 02125,Semi-Modern,,,1,3,0101 (Residential Property  / SINGLE FAM DWELLING),,$0.00 ,,Average,Vinyl,"$202,000.00 ","$3,663.49 ","$134,100.00 ",$366.35 ,"$336,100.00 ",0,Concrete,Average,0,Ht Water/Steam,Average,Semi-Modern,,,1 Full Eat In Kitchens,101 - SINGLE FAM DWELLING,"1,296 sq ft","4,427 sq ft",,1,0,1,No,One Family,,Yes,,Asphalt Shingl,Gable,,Semi-Det,5,,,,Average,1988,0.915133162,"7 Dean Street, Dorchester, MA 02125, United States of America",42.31936,-71.07353,42.31936744,-71.07353475,"https://www.google.com/maps/search//@42.3173674417134,-71.0735347546616,263a,35y,39.46t/data=!3m1!1e3",59.04,1,88.49995383,57.50001583
2,1502809000,52.63994683,1,$0.00 ,,2  HOWE TE BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"43,883 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$4,897,300 ",0,,,1999,0,"2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18 Howe Terrace, Boston, MA 02212, United States of America",42.3107318,-71.06418678,42.31077748,-71.06413898,"https://www.google.com/maps/search//@42.308777475422595,-71.0641389769357,263a,35y,39.46t/data=!3m1!1e3",39.36,1,91.99994683,37.50005583
3,1300608000,39.77897854,1,"$3,610.53 ",None,98  HOWARD AV BOSTON MA 02125,Modern,Modern,Modern,5,9,0105 (Residential Property  / THREE-FAM DWELLING),,$68.72 ,,Average,Vinyl,"$764,200.00 ","$11,572.53 ","$297,500.00 ","$8,030.72 ","$1,061,700.00 ",1,Stone,Average,0,Ht Water/Steam,Good,Modern,Modern,Modern,3 Full Eat In Kitchens,105 - THREE-FAM DWELLING,"3,968 sq ft","7,724 sq ft",,3,0,5,No,Three Family,,Yes,,Slate,Mansard,,Conventional,16,,,,Average,1890,0,"98 Howard Avenue, Boston, MA 02121, United States of America",42.31672565,-71.07435595,42.31673547,-71.07434269,"https://www.google.com/maps/search//@42.314735471846596,-71.0743426888772,263a,35y,39.46t/data=!3m1!1e3",94.72088329,1,134.4998618,93.49994383
3,1300261000,1.520377167,1,$0.00 ,,14  WOODFORD ST BOSTON MA 02125,,,,,,0995 (Exempt Property Type / CONDO MAIN),0,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,0 sq ft,"2,734 sq ft",0,,,,No,Condo Main Building,,No,0,,,,,,"$797,900 ",0,,,2005,2.626698267,"14 Woodford Street, Boston, MA 02125, United States of America",42.31841435,-71.07063761,42.31836729,-71.07073065,"https://www.google.com/maps/search//@42.3163672902038,-71.0707306485489,263a,35y,39.46t/data=!3m1!1e3",59.04,1.5,60.56037717,54.38912967
